Datetime,target_volatility
2020-07-10 12:00:00,29.46
2020-07-10 12:30:00,29.46
2020-07-10 13:00:00,29.46
2020-07-10 13:30:00,29.46
2020-07-10 14:00:00,29.46
2020-07-10 14:30:00,29.46
2020-07-10 15:00:00,29.46
2020-07-10 15:30:00,29.46
2020-07-10 16:00:00,33.12
2020-07-13 09:30:00,33.12
2020-07-13 10:00:00,33.12
2020-07-13 10:30:00,33.12
2020-07-13 11:00:00,33.12
2020-07-13 11:30:00,33.12
2020-07-13 12:00:00,33.12
2020-07-13 12:30:00,33.12
2020-07-13 13:00:00,33.12
2020-07-13 13:30:00,33.12
2020-07-13 14:00:00,33.12
2020-07-13 14:30:00,33.12
2020-07-13 15:00:00,33.12
2020-07-13 15:30:00,33.12
2020-07-13 16:00:00,31.34
2020-07-14 09:30:00,31.34
2020-07-14 10:00:00,31.34
2020-07-14 10:30:00,31.34
2020-07-14 11:00:00,31.34
2020-07-14 11:30:00,31.34
2020-07-14 12:00:00,31.34
2020-07-14 12:30:00,31.34
2020-07-14 13:00:00,31.34
2020-07-14 13:30:00,31.34
2020-07-14 14:00:00,31.34
2020-07-14 14:30:00,31.34
2020-07-14 15:00:00,31.34
2020-07-14 15:30:00,31.34
2020-07-14 16:00:00,30.1
2020-07-15 09:30:00,30.1
2020-07-15 10:00:00,30.1
2020-07-15 10:30:00,30.1
2020-07-15 11:00:00,30.1
2020-07-15 11:30:00,30.1
2020-07-15 12:00:00,30.1
2020-07-15 12:30:00,30.1
2020-07-15 13:00:00,30.1
2020-07-15 13:30:00,30.1
2020-07-15 14:00:00,30.1
2020-07-15 14:30:00,30.1
2020-07-15 15:00:00,30.1
2020-07-15 15:30:00,30.1
2020-07-15 16:00:00,29.83
2020-07-16 09:30:00,29.83
2020-07-16 10:00:00,29.83
2020-07-16 10:30:00,29.83
2020-07-16 11:00:00,29.83
2020-07-16 11:30:00,29.83
2020-07-16 12:00:00,29.83
2020-07-16 12:30:00,29.83
2020-07-16 13:00:00,29.83
2020-07-16 13:30:00,29.83
2020-07-16 14:00:00,29.83
2020-07-16 14:30:00,29.83
2020-07-16 15:00:00,29.83
2020-07-16 15:30:00,29.83
2020-07-16 16:00:00,27.93
2020-07-17 09:30:00,27.93
2020-07-17 10:00:00,27.93
2020-07-17 10:30:00,27.93
2020-07-17 11:00:00,27.93
2020-07-17 11:30:00,27.93
2020-07-17 12:00:00,27.93
2020-07-17 12:30:00,27.93
2020-07-17 13:00:00,27.93
2020-07-17 13:30:00,27.93
2020-07-17 14:00:00,27.93
2020-07-17 14:30:00,27.93
2020-07-17 15:00:00,27.93
2020-07-17 15:30:00,27.93
2020-07-17 16:00:00,26.72
2020-07-20 09:30:00,26.72
2020-07-20 10:00:00,26.72
2020-07-20 10:30:00,26.72
2020-07-20 11:00:00,26.72
2020-07-20 11:30:00,26.72
2020-07-20 12:00:00,26.72
2020-07-20 12:30:00,26.72
2020-07-20 13:00:00,26.72
2020-07-20 13:30:00,26.72
2020-07-20 14:00:00,26.72
2020-07-20 14:30:00,26.72
2020-07-20 15:00:00,26.72
2020-07-20 15:30:00,26.72
2020-07-20 16:00:00,26.79
2020-07-21 09:30:00,26.79
2020-07-21 10:00:00,26.79
2020-07-21 10:30:00,26.79
2020-07-21 11:00:00,26.79
2020-07-21 11:30:00,26.79
2020-07-21 12:00:00,26.79
2020-07-21 12:30:00,26.79
2020-07-21 13:00:00,26.79
2020-07-21 13:30:00,26.79
2020-07-21 14:00:00,26.79
2020-07-21 14:30:00,26.79
2020-07-21 15:00:00,26.79
2020-07-21 15:30:00,26.79
2020-07-21 16:00:00,26.46
2020-07-22 09:30:00,26.46
2020-07-22 10:00:00,26.46
2020-07-22 10:30:00,26.46
2020-07-22 11:00:00,26.46
2020-07-22 11:30:00,26.46
2020-07-22 12:00:00,26.46
2020-07-22 12:30:00,26.46
2020-07-22 13:00:00,26.46
2020-07-22 13:30:00,26.46
2020-07-22 14:00:00,26.46
2020-07-22 14:30:00,26.46
2020-07-22 15:00:00,26.46
2020-07-22 15:30:00,26.46
2020-07-22 16:00:00,27.08
2020-07-23 09:30:00,27.08
2020-07-23 10:00:00,27.08
2020-07-23 10:30:00,27.08
2020-07-23 11:00:00,27.08
2020-07-23 11:30:00,27.08
2020-07-23 12:00:00,27.08
2020-07-23 12:30:00,27.08
2020-07-23 13:00:00,27.08
2020-07-23 13:30:00,27.08
2020-07-23 14:00:00,27.08
2020-07-23 14:30:00,27.08
2020-07-23 15:00:00,27.08
2020-07-23 15:30:00,27.08
2020-07-23 16:00:00,26.79
2020-07-24 09:30:00,26.79
2020-07-24 10:00:00,26.79
2020-07-24 10:30:00,26.79
2020-07-24 11:00:00,26.79
2020-07-24 11:30:00,26.79
2020-07-24 12:00:00,26.79
2020-07-24 12:30:00,26.79
2020-07-24 13:00:00,26.79
2020-07-24 13:30:00,26.79
2020-07-24 14:00:00,26.79
2020-07-24 14:30:00,26.79
2020-07-24 15:00:00,26.79
2020-07-24 15:30:00,26.79
2020-07-24 16:00:00,26.09
2020-07-27 09:30:00,26.09
2020-07-27 10:00:00,26.09
2020-07-27 10:30:00,26.09
2020-07-27 11:00:00,26.09
2020-07-27 11:30:00,26.09
2020-07-27 12:00:00,26.09
2020-07-27 12:30:00,26.09
2020-07-27 13:00:00,26.09
2020-07-27 13:30:00,26.09
2020-07-27 14:00:00,26.09
2020-07-27 14:30:00,26.09
2020-07-27 15:00:00,26.09
2020-07-27 15:30:00,26.09
2020-07-27 16:00:00,25.81
2020-07-28 09:30:00,25.81
2020-07-28 10:00:00,25.81
2020-07-28 10:30:00,25.81
2020-07-28 11:00:00,25.81
2020-07-28 11:30:00,25.81
2020-07-28 12:00:00,25.81
2020-07-28 12:30:00,25.81
2020-07-28 13:00:00,25.81
2020-07-28 13:30:00,25.81
2020-07-28 14:00:00,25.81
2020-07-28 14:30:00,25.81
2020-07-28 15:00:00,25.81
2020-07-28 15:30:00,25.81
2020-07-28 16:00:00,24.85
2020-07-29 09:30:00,24.85
2020-07-29 10:00:00,24.85
2020-07-29 10:30:00,24.85
2020-07-29 11:00:00,24.85
2020-07-29 11:30:00,24.85
2020-07-29 12:00:00,24.85
2020-07-29 12:30:00,24.85
2020-07-29 13:00:00,24.85
2020-07-29 13:30:00,24.85
2020-07-29 14:00:00,24.85
2020-07-29 14:30:00,24.85
2020-07-29 15:00:00,24.85
2020-07-29 15:30:00,24.85
2020-07-29 16:00:00,25.37
2020-07-30 09:30:00,25.37
2020-07-30 10:00:00,25.37
2020-07-30 10:30:00,25.37
2020-07-30 11:00:00,25.37
2020-07-30 11:30:00,25.37
2020-07-30 12:00:00,25.37
2020-07-30 12:30:00,25.37
2020-07-30 13:00:00,25.37
2020-07-30 13:30:00,25.37
2020-07-30 14:00:00,25.37
2020-07-30 14:30:00,25.37
2020-07-30 15:00:00,25.37
2020-07-30 15:30:00,25.37
2020-07-30 16:00:00,23.87
2020-07-31 09:30:00,23.87
2020-07-31 10:00:00,23.87
2020-07-31 10:30:00,23.87
2020-07-31 11:00:00,23.87
2020-07-31 11:30:00,23.87
2020-07-31 12:00:00,23.87
2020-07-31 12:30:00,23.87
2020-07-31 13:00:00,23.87
2020-07-31 13:30:00,23.87
2020-07-31 14:00:00,23.87
2020-07-31 14:30:00,23.87
2020-07-31 15:00:00,23.87
2020-07-31 15:30:00,23.87
2020-07-31 16:00:00,24.16
2020-08-03 09:30:00,24.16
2020-08-03 10:00:00,24.16
2020-08-03 10:30:00,24.16
2020-08-03 11:00:00,24.16
2020-08-03 11:30:00,24.16
2020-08-03 12:00:00,24.16
2020-08-03 12:30:00,24.16
2020-08-03 13:00:00,24.16
2020-08-03 13:30:00,24.16
2020-08-03 14:00:00,24.16
2020-08-03 14:30:00,24.16
2020-08-03 15:00:00,24.16
2020-08-03 15:30:00,24.16
2020-08-03 16:00:00,23.16
2020-08-04 09:30:00,23.16
2020-08-04 10:00:00,23.16
2020-08-04 10:30:00,23.16
2020-08-04 11:00:00,23.16
2020-08-04 11:30:00,23.16
2020-08-04 12:00:00,23.16
2020-08-04 12:30:00,23.16
2020-08-04 13:00:00,23.16
2020-08-04 13:30:00,23.16
2020-08-04 14:00:00,23.16
2020-08-04 14:30:00,23.16
2020-08-04 15:00:00,23.16
2020-08-04 15:30:00,23.16
2020-08-04 16:00:00,22.88
2020-08-05 09:30:00,22.88
2020-08-05 10:00:00,22.88
2020-08-05 10:30:00,22.88
2020-08-05 11:00:00,22.88
2020-08-05 11:30:00,22.88
2020-08-05 12:00:00,22.88
2020-08-05 12:30:00,22.88
2020-08-05 13:00:00,22.88
2020-08-05 13:30:00,22.88
2020-08-05 14:00:00,22.88
2020-08-05 14:30:00,22.88
2020-08-05 15:00:00,22.88
2020-08-05 15:30:00,22.88
2020-08-05 16:00:00,22.85
2020-08-06 09:30:00,22.85
2020-08-06 10:00:00,22.85
2020-08-06 10:30:00,22.85
2020-08-06 11:00:00,22.85
2020-08-06 11:30:00,22.85
2020-08-06 12:00:00,22.85
2020-08-06 12:30:00,22.85
2020-08-06 13:00:00,22.85
2020-08-06 13:30:00,22.85
2020-08-06 14:00:00,22.85
2020-08-06 14:30:00,22.85
2020-08-06 15:00:00,22.85
2020-08-06 15:30:00,22.85
2020-08-06 16:00:00,23.34
2020-08-07 09:30:00,23.34
2020-08-07 10:00:00,23.34
2020-08-07 10:30:00,23.34
2020-08-07 11:00:00,23.34
2020-08-07 11:30:00,23.34
2020-08-07 12:00:00,23.34
2020-08-07 12:30:00,23.34
2020-08-07 13:00:00,23.34
2020-08-07 13:30:00,23.34
2020-08-07 14:00:00,23.34
2020-08-07 14:30:00,23.34
2020-08-07 15:00:00,23.34
2020-08-07 15:30:00,23.34
2020-08-07 16:00:00,23.35
2020-08-10 09:30:00,23.35
2020-08-10 10:00:00,23.35
2020-08-10 10:30:00,23.35
2020-08-10 11:00:00,23.35
2020-08-10 11:30:00,23.35
2020-08-10 12:00:00,23.35
2020-08-10 12:30:00,23.35
2020-08-10 13:00:00,23.35
2020-08-10 13:30:00,23.35
2020-08-10 14:00:00,23.35
2020-08-10 14:30:00,23.35
2020-08-10 15:00:00,23.35
2020-08-10 15:30:00,23.35
2020-08-10 16:00:00,25.41
2020-08-11 09:30:00,25.41
2020-08-11 10:00:00,25.41
2020-08-11 10:30:00,25.41
2020-08-11 11:00:00,25.41
2020-08-11 11:30:00,25.41
2020-08-11 12:00:00,25.41
2020-08-11 12:30:00,25.41
2020-08-11 13:00:00,25.41
2020-08-11 13:30:00,25.41
2020-08-11 14:00:00,25.41
2020-08-11 14:30:00,25.41
2020-08-11 15:00:00,25.41
2020-08-11 15:30:00,25.41
2020-08-11 16:00:00,23.97
2020-08-12 09:30:00,23.97
2020-08-12 10:00:00,23.97
2020-08-12 10:30:00,23.97
2020-08-12 11:00:00,23.97
2020-08-12 11:30:00,23.97
2020-08-12 12:00:00,23.97
2020-08-12 12:30:00,23.97
2020-08-12 13:00:00,23.97
2020-08-12 13:30:00,23.97
2020-08-12 14:00:00,23.97
2020-08-12 14:30:00,23.97
2020-08-12 15:00:00,23.97
2020-08-12 15:30:00,23.97
2020-08-12 16:00:00,23.88
2020-08-13 09:30:00,23.88
2020-08-13 10:00:00,23.88
2020-08-13 10:30:00,23.88
2020-08-13 11:00:00,23.88
2020-08-13 11:30:00,23.88
2020-08-13 12:00:00,23.88
2020-08-13 12:30:00,23.88
2020-08-13 13:00:00,23.88
2020-08-13 13:30:00,23.88
2020-08-13 14:00:00,23.88
2020-08-13 14:30:00,23.88
2020-08-13 15:00:00,23.88
2020-08-13 15:30:00,23.88
2020-08-13 16:00:00,23.5
2020-08-14 09:30:00,23.5
2020-08-14 10:00:00,23.5
2020-08-14 10:30:00,23.5
2020-08-14 11:00:00,23.5
2020-08-14 11:30:00,23.5
2020-08-14 12:00:00,23.5
2020-08-14 12:30:00,23.5
2020-08-14 13:00:00,23.5
2020-08-14 13:30:00,23.5
2020-08-14 14:00:00,23.5
2020-08-14 14:30:00,23.5
2020-08-14 15:00:00,23.5
2020-08-14 15:30:00,23.5
2020-08-14 16:00:00,22.57
2020-08-17 09:30:00,22.57
2020-08-17 10:00:00,22.57
2020-08-17 10:30:00,22.57
2020-08-17 11:00:00,22.57
2020-08-17 11:30:00,22.57
2020-08-17 12:00:00,22.57
2020-08-17 12:30:00,22.57
2020-08-17 13:00:00,22.57
2020-08-17 13:30:00,22.57
2020-08-17 14:00:00,22.57
2020-08-17 14:30:00,22.57
2020-08-17 15:00:00,22.57
2020-08-17 15:30:00,22.57
2020-08-17 16:00:00,22.25
2020-08-18 09:30:00,22.25
2020-08-18 10:00:00,22.25
2020-08-18 10:30:00,22.25
2020-08-18 11:00:00,22.25
2020-08-18 11:30:00,22.25
2020-08-18 12:00:00,22.25
2020-08-18 12:30:00,22.25
2020-08-18 13:00:00,22.25
2020-08-18 13:30:00,22.25
2020-08-18 14:00:00,22.25
2020-08-18 14:30:00,22.25
2020-08-18 15:00:00,22.25
2020-08-18 15:30:00,22.25
2020-08-18 16:00:00,22.93
2020-08-19 09:30:00,22.93
2020-08-19 10:00:00,22.93
2020-08-19 10:30:00,22.93
2020-08-19 11:00:00,22.93
2020-08-19 11:30:00,22.93
2020-08-19 12:00:00,22.93
2020-08-19 12:30:00,22.93
2020-08-19 13:00:00,22.93
2020-08-19 13:30:00,22.93
2020-08-19 14:00:00,22.93
2020-08-19 14:30:00,22.93
2020-08-19 15:00:00,22.93
2020-08-19 15:30:00,22.93
2020-08-19 16:00:00,22.8
2020-08-20 09:30:00,22.8
2020-08-20 10:00:00,22.8
2020-08-20 10:30:00,22.8
2020-08-20 11:00:00,22.8
2020-08-20 11:30:00,22.8
2020-08-20 12:00:00,22.8
2020-08-20 12:30:00,22.8
2020-08-20 13:00:00,22.8
2020-08-20 13:30:00,22.8
2020-08-20 14:00:00,22.8
2020-08-20 14:30:00,22.8
2020-08-20 15:00:00,22.8
2020-08-20 15:30:00,22.8
2020-08-20 16:00:00,21.83
2020-08-21 09:30:00,21.83
2020-08-21 10:00:00,21.83
2020-08-21 10:30:00,21.83
2020-08-21 11:00:00,21.83
2020-08-21 11:30:00,21.83
2020-08-21 12:00:00,21.83
2020-08-21 12:30:00,21.83
2020-08-21 13:00:00,21.83
2020-08-21 13:30:00,21.83
2020-08-21 14:00:00,21.83
2020-08-21 14:30:00,21.83
2020-08-21 15:00:00,21.83
2020-08-21 15:30:00,21.83
2020-08-21 16:00:00,22.68
2020-08-24 09:30:00,22.68
2020-08-24 10:00:00,22.68
2020-08-24 10:30:00,22.68
2020-08-24 11:00:00,22.68
2020-08-24 11:30:00,22.68
2020-08-24 12:00:00,22.68
2020-08-24 12:30:00,22.68
2020-08-24 13:00:00,22.68
2020-08-24 13:30:00,22.68
2020-08-24 14:00:00,22.68
2020-08-24 14:30:00,22.68
2020-08-24 15:00:00,22.68
2020-08-24 15:30:00,22.68
2020-08-24 16:00:00,22.36
2020-08-25 09:30:00,22.36
2020-08-25 10:00:00,22.36
2020-08-25 10:30:00,22.36
2020-08-25 11:00:00,22.36
2020-08-25 11:30:00,22.36
2020-08-25 12:00:00,22.36
2020-08-25 12:30:00,22.36
2020-08-25 13:00:00,22.36
2020-08-25 13:30:00,22.36
2020-08-25 14:00:00,22.36
2020-08-25 14:30:00,22.36
2020-08-25 15:00:00,22.36
2020-08-25 15:30:00,22.36
2020-08-25 16:00:00,23.4
2020-08-26 09:30:00,23.4
2020-08-26 10:00:00,23.4
2020-08-26 10:30:00,23.4
2020-08-26 11:00:00,23.4
2020-08-26 11:30:00,23.4
2020-08-26 12:00:00,23.4
2020-08-26 12:30:00,23.4
2020-08-26 13:00:00,23.4
2020-08-26 13:30:00,23.4
2020-08-26 14:00:00,23.4
2020-08-26 14:30:00,23.4
2020-08-26 15:00:00,23.4
2020-08-26 15:30:00,23.4
2020-08-26 16:00:00,24.43
2020-08-27 09:30:00,24.43
2020-08-27 10:00:00,24.43
2020-08-27 10:30:00,24.43
2020-08-27 11:00:00,24.43
2020-08-27 11:30:00,24.43
2020-08-27 12:00:00,24.43
2020-08-27 12:30:00,24.43
2020-08-27 13:00:00,24.43
2020-08-27 13:30:00,24.43
2020-08-27 14:00:00,24.43
2020-08-27 14:30:00,24.43
2020-08-27 15:00:00,24.43
2020-08-27 15:30:00,24.43
2020-08-27 16:00:00,23.84
2020-08-28 09:30:00,23.84
2020-08-28 10:00:00,23.84
2020-08-28 10:30:00,23.84
2020-08-28 11:00:00,23.84
2020-08-28 11:30:00,23.84
2020-08-28 12:00:00,23.84
2020-08-28 12:30:00,23.84
